MySuper Product Name,Fund Name,Annual Return
PSSap MySuper Balanced,Public Sector Superannuation Accumulation Plan,-0.000723373
Glidepath,Qantas Superannuation Plan,0.009326273
Quadrant MyChoices_MySuper Investment Option,Quadrant Superannuation Scheme,0.013765417
QIEC MySuper,Queensland Independent Education & Care Superannuation Trust,0.007702163
Trustee Super Balanced,Rei Super,0.007527529
REST Super,Retail Employees Superannuation Trust,0.004696066
BT Super for Life MySuper; BT Lifetime Employer MySuper,Retirement Wrap,0.001068746
Westpac Group Plan MySuper,Retirement Wrap,0.001122943
Rio Tinto Fund Growth Option (MySuperProduct),Rio Tinto Staff Superannuation Fund,0.016968003
General Division,Russell Investments Master Trust,-0.001282708
SmartSave MySuper Balanced,Smartsave 'Member's Choice' Superannuation Master Plan,-0.003138075
QSuper Lifetime,State Public Sector Superannuation Scheme,0.003639784
Statewide MySuper,Statewide Superannuation Trust,0.005842337
Suncorp Lifestage Funds,Suncorp Master Trust,0.016774707
Sunsuper for Life,Sunsuper Superannuation Fund,-0.001953264
AMP MySuper No.3,Super Directions Fund,0.096509058
Tasplan MySuper,Tasplan Superannuation Fund,0.004835354
Telstra Super MySuper,Telstra Superannuation Scheme,0.002126748
Bendigo MySuper,The Bendigo Superannuation Plan,-0.001777565
MySuper MyLife,The Executive Superannuation Fund,0.018950876
FlexibleSuper Active Balanced,The Flexible Benefits Super Fund,-0.000901423
TIS MySuper,The Transport Industry Superannuation Fund,0.007079536
MLC MySuper,The Universal Super Scheme,0
VISSF Balanced Option (MySuper Product),The Victorian Independent Schools Superannuation Fund,0
MySuper Growth,Toyota Australia Superannuation Plan,0.007625461
MySuper Growth,Toyota Super,0.005569223
Balanced (MySuper),TWU Superannuation Fund,0.005999776
UniSuper Balanced,Unisuper,0.00290116
Balanced,United Technologies Corporation Retirement Plan,0.003817536
Growth (MySuper),Victorian Superannuation Fund,0.002798096
Virgin Super Essentials,Virgin Superannuation,0.003890056
My WA Super,WA Local Government Superannuation Plan,0.002370303
Growth (MySuper),Water Corporation Superannuation Plan,0.001592469
BT Business MySuper,Westpac Mastertrust - Superannuation Division,0
MySuper WASF Default Option,Worsley Alumina Superannuation Fund,0.009496713
AMG MySuper,AMG Super,0.003441924
AMP MySuper No.1,AMP Retirement Trust,0.038991642
AFLPA & AFL Industry MySuper,AMP Superannuation Savings Trust,0.024312587
AMP MySuper No.2,AMP Superannuation Savings Trust,0.013245529
Anglican National MySuper,AMP Superannuation Savings Trust,0.013848894
Australia Post MySuper,AMP Superannuation Savings Trust,0.035202926
Brookfield Australia MySuper,AMP Superannuation Savings Trust,0.021043482
CCA MySuper,AMP Superannuation Savings Trust,0.012692337
Macquarie Group MySuper,AMP Superannuation Savings Trust,0.021131466
Woolworths Group MySuper,AMP Superannuation Savings Trust,0.008073425
ANZ Staff MySuper,ANZ Australian Staff Superannuation Scheme,0.000975222
Aon MySuper,AON Master Trust,0.005835361
Asgard Employee MySuper,ASGARD Independence Plan Division Two,-0.001975474
MySuper Balanced,Australian Catholic Superannuation and Retirement Fund,-0.005544832
Balanced (accumulation),Australian Ethical Retail Superannuation Fund,-0.001469315
AMIST MySuper,Australian Meat Industry Superannuation Trust,0.003742869
AustralianSuper MySuper,AustralianSuper,-0.000720762
IBM Super Plan MySuper,AustralianSuper,-0.000720587
Komatsu Super Plan MySuper,AustralianSuper,-0.000726976
MySuper (Balanced),Austsafe Superannuation Fund,-0.000395633
AvSuper Growth (MySuper),AvSuper Fund,-0.00149065
Betros MySuper,Betros Bros Superannuation Fund No 2,0
MySuper Default Option,BHP Billiton Superannuation Fund,0.000277975
BOC MySuper,Boc Gases Superannuation Fund,-0.007494038
BUSSQ MySuper,Building Unions Superannuation Scheme (Queensland),-0.002514151
CareSuper,Care Super,0.000998937
My Ethical Super,Christian Super,0.002850213
Club Plus Super _ MySuper,Club Plus Superannuation Scheme,-0.003723079
Club MySuper,Club Super,-0.003546163
Colonial First State FirstChoice Superannuation Trust,Colonial First State FirstChoice Superannuation Trust,-0.004772491
Combined Fund MySuper,Combined Super Fund,0.010668471
Accumulate Plus Balanced,Commonwealth Bank Group Super,-0.000877922
Commonwealth Essential Super,Commonwealth Essential Super,0.000161562
MySuper Balanced,Concept One The Industry Superannuation Fund,-0.000933015
Growth (Cbus MySuper),Construction & Building Unions Superannuation,-0.000948096
Active Balanced,DuluxGroup Employees Superannuation Fund,-0.000171527
Balanced,Elphinstone Group Superannuation Fund,-0.00498594
EmPlus MySuper,EmPlus Superannuation Fund,0.003478594
MySuper Balanced,Energy Industries Superannuation Scheme-Pool A,-0.002369643
MySuper,Energy Super,-0.000159983
Equipsuper MySuper,equipsuper,0.00039248
